 #EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
58,1.358984,3.9531,4.4555,0.8837,2.5673,2.589,2.503
59,1.368708,3.9561,4.4548,0.899,2.5359,2.5539,2.479
60,1.378383,3.9589,4.4538,0.9142,2.5055,2.5205,2.4553
61,1.387729,3.9614,4.4529,0.9289,2.4774,2.4893,2.4333
62,1.395008,3.9634,4.4519,0.94,2.4568,2.4669,2.4171
63,1.400322,3.9649,4.4508,0.9482,2.443,2.4518,2.4061
64,1.404731,3.9659,4.4495,0.9552,2.4318,2.4398,2.3972
65,1.410324,3.9674,4.448,0.9639,2.4174,2.424,2.3854
66,1.42352,3.9709,4.4461,0.9839,2.381,2.3843,2.3553
67,1.570987,4.0082,4.4084,1.2174,1.9227,1.8932,1.9593
68,1.571485,4.0075,4.4036,1.219,1.9214,1.8935,1.9556
69,1.576873,4.0078,4.3989,1.2263,1.9092,1.882,1.9423
70,1.774214,4.0448,4.2994,1.5307,1.3045,1.2516,1.3841
71,1.806728,4.0486,4.2752,1.5787,1.207,1.1525,1.2888
72,1.827536,4.0501,4.2555,1.6095,1.1419,1.0876,1.223
73,1.843125,4.0503,4.2374,1.6328,1.0902,1.0366,1.1692
74,1.855739,4.05,4.2198,1.6518,1.0451,0.9927,1.1219
75,1.867217,4.0492,4.2024,1.6693,1.0022,0.9512,1.0764
76,1.878201,4.0484,4.1845,1.6864,0.9589,0.9094,1.0306
77,1.889677,4.0474,4.1657,1.7037,0.9133,0.865,0.9827
78,1.90141,4.0463,4.1465,1.7213,0.8667,0.8196,0.9338
79,1.912941,4.0449,4.127,1.7384,0.8204,0.7744,0.8851
80,1.922122,4.0429,4.1074,1.7519,0.7802,0.736,0.8418
81,1.865792,4.0287,4.1254,1.6581,0.9692,0.9381,1.0061
82,1.872653,4.028,4.1145,1.6682,0.9411,0.91,0.9773
83,1.879264,4.0273,4.1035,1.6781,0.9131,0.8826,0.9488
84,1.885419,4.0264,4.0922,1.6872,0.8861,0.8561,0.9213
85,1.890826,4.0253,4.0812,1.6953,0.8608,0.8313,0.895
86,1.895021,4.0239,4.0699,1.702,0.8379,0.8094,0.8709
87,1.897122,4.0222,4.0593,1.706,0.8204,0.7931,0.8516
88,1.846845,4.0157,4.1046,1.6199,1.0117,0.9893,1.0329
89,1.843244,4.014,4.1039,1.6124,1.0229,1.0018,1.042
90,1.84199,4.0125,4.1004,1.6091,1.0244,1.0042,1.0419
91,1.841151,4.0108,4.096,1.6067,1.0231,1.0039,1.0392
92,1.840669,4.0094,4.0914,1.6052,1.0201,1.0019,1.0349
93,1.841046,4.008,4.0857,1.6051,1.0136,0.9962,1.0269
94,1.842084,4.0066,4.0793,1.6062,1.0044,0.9876,1.0165
95,1.843668,4.0053,4.0723,1.608,0.9933,0.9773,1.0043
96,1.845592,4.0038,4.0648,1.6106,0.9806,0.9656,0.9906
97,1.84781,4.0025,4.0567,1.6136,0.9667,0.9522,0.9756
98,1.850299,4.0013,4.0485,1.6169,0.9518,0.9382,0.9595
99,1.852987,3.9999,4.0401,1.6207,0.9362,0.9232,0.9428
100,1.855869,3.9985,4.0315,1.6248,0.9197,0.9074,0.9252
101,1.858872,3.9972,4.0225,1.6292,0.9024,0.8907,0.9071
102,1.862021,3.996,4.0133,1.6338,0.8845,0.8736,0.8882
103,1.86531,3.9949,4.0046,1.6387,0.8664,0.8562,0.8693
104,1.868556,3.9936,3.9955,1.6439,0.8482,0.8385,0.8501
105,1.871812,3.9925,3.9867,1.649,0.83,0.8209,0.8312
106,1.874996,3.9918,3.9789,1.6544,0.8125,0.8037,0.8132
107,1.87811,3.9912,3.972,1.66,0.7961,0.7876,0.7966
108,1.881123,3.9914,3.9672,1.666,0.7819,0.773,0.7824
109,1.883742,3.9921,3.9648,1.672,0.7705,0.7613,0.7719
110,1.885971,3.9936,3.9655,1.6776,0.7635,0.7534,0.7663
111,1.887626,3.9957,3.969,1.6828,0.7602,0.749,0.7649
112,1.887817,3.9959,3.9696,1.6835,0.7601,0.7487,0.765
113,1.888008,3.9965,3.9705,1.6841,0.7602,0.7486,0.7655
114,1.888199,3.9967,3.9712,1.6849,0.7602,0.7485,0.7657
115,1.888392,3.9971,3.9721,1.6856,0.7602,0.7481,0.7659
116,1.888583,3.9974,3.973,1.6862,0.7603,0.748,0.7663
117,1.888775,3.9979,3.974,1.6871,0.7606,0.7482,0.767
118,1.888967,3.9984,3.9751,1.688,0.7608,0.7481,0.7677
119,1.889159,3.9989,3.9762,1.6887,0.761,0.748,0.7683
120,1.889352,3.9995,3.9775,1.6895,0.7614,0.7484,0.769
121,1.889543,4,3.979,1.6904,0.7621,0.7486,0.7703
122,1.889736,4.0005,3.9805,1.6914,0.7627,0.7489,0.7712
123,1.889929,4.0011,3.9819,1.6923,0.7634,0.7493,0.7723
124,1.890121,4.0018,3.9839,1.6934,0.7644,0.75,0.7739
125,1.890312,4.0025,3.9854,1.6943,0.7652,0.7504,0.7752
126,1.890505,4.0036,3.988,1.6956,0.7665,0.7513,0.7772
127,1.890693,4.0042,3.9901,1.6967,0.7678,0.7521,0.7788
128,1.890885,4.0052,3.9925,1.6979,0.7693,0.7532,0.781
129,1.891073,4.0061,3.9951,1.6993,0.771,0.7544,0.7834
130,1.89126,4.0073,3.9981,1.7009,0.773,0.7557,0.7862
131,1.891443,4.0084,4.0014,1.7024,0.7751,0.7573,0.7889
132,1.891626,4.0099,4.005,1.7041,0.7775,0.759,0.7924
133,1.891808,4.0113,4.0091,1.7059,0.7802,0.7611,0.7961
134,1.891987,4.0126,4.0133,1.7078,0.7832,0.7634,0.8002
135,1.892158,4.0146,4.0179,1.71,0.7865,0.7657,0.8046
136,1.89232,4.0165,4.0231,1.7126,0.79,0.7682,0.8093
137,1.892471,4.0184,4.0284,1.7154,0.7932,0.7706,0.814
138,1.892608,4.0206,4.034,1.7185,0.7966,0.7728,0.8186
139,1.892736,4.0229,4.0401,1.722,0.8003,0.7753,0.8238
140,1.892852,4.0254,4.0462,1.7254,0.8039,0.7777,0.8289
141,1.892952,4.0277,4.052,1.7291,0.8069,0.7794,0.8336
142,1.893035,4.03,4.0573,1.7331,0.8087,0.7804,0.8371
143,1.893107,4.0322,4.062,1.7373,0.8104,0.7807,0.84
144,1.893164,4.0345,4.0669,1.7415,0.8114,0.7807,0.8425
145,1.893176,4.0377,4.0719,1.7494,0.8081,0.7758,0.8416
146,1.893256,4.0428,4.0792,1.7619,0.8018,0.7667,0.8392
147,1.893422,4.0467,4.088,1.769,0.8037,0.7665,0.8442
148,1.893477,4.0454,4.0884,1.7639,0.81,0.7733,0.8498
149,1.893499,4.0443,4.0897,1.7584,0.8171,0.7809,0.8565
150,1.893499,4.0443,4.0961,1.7519,0.8319,0.7955,0.872
151,1.893496,4.0435,4.1046,1.7399,0.8562,0.82,0.896
152,1.893518,4.0405,4.1052,1.7276,0.8713,0.8367,0.9091
153,1.893572,4.0351,4.0926,1.7189,0.8658,0.8338,0.8997
154,1.893633,4.0301,4.0709,1.7205,0.8364,0.8071,0.8668
155,1.89366,4.0281,4.0576,1.7252,0.8136,0.7852,0.8428
156,1.89367,4.027,4.0479,1.7305,0.7941,0.7662,0.8228
157,1.893668,4.0264,4.0395,1.7361,0.7755,0.7477,0.8044
158,1.893662,4.0257,4.0311,1.742,0.7563,0.7288,0.7854
159,1.893652,4.0248,4.0213,1.748,0.7354,0.708,0.7644
160,1.893647,4.0234,4.0098,1.7542,0.7121,0.685,0.7408
161,1.893653,4.0215,3.9962,1.76,0.6872,0.661,0.7153
162,1.893576,4.019,3.9803,1.7663,0.6576,0.6323,0.6849
163,1.893555,4.0161,3.963,1.772,0.6272,0.603,0.6531
164,1.893589,4.0127,3.9438,1.7772,0.5959,0.5731,0.62
165,1.893691,4.0091,3.9251,1.7814,0.5664,0.5453,0.5885
166,1.893855,4.0056,3.9078,1.7848,0.54,0.5202,0.5603
167,1.894061,4.0023,3.8924,1.7875,0.5166,0.4981,0.5351
168,1.894296,3.9995,3.8789,1.79,0.4955,0.478,0.5127
169,1.894551,3.997,3.8667,1.7921,0.4757,0.4593,0.4922
170,1.894817,3.9946,3.8551,1.7941,0.457,0.4411,0.4727
171,1.895094,3.9925,3.8443,1.796,0.4384,0.4227,0.4542
172,1.895378,3.9902,3.8338,1.798,0.419,0.4028,0.4363
173,1.895668,3.9881,3.8232,1.7998,0.3984,0.3808,0.419
174,1.895961,3.9858,3.8126,1.8015,0.377,0.3577,0.4012
175,1.896255,3.9835,3.8016,1.8033,0.3553,0.3346,0.3818
176,1.896549,3.981,3.7901,1.805,0.3331,0.3119,0.3604
177,1.896847,3.9784,3.778,1.8069,0.3109,0.2896,0.338
178,1.897137,3.9756,3.7652,1.8085,0.2888,0.2675,0.3153
179,1.897422,3.9727,3.7516,1.81,0.2672,0.2461,0.2926
180,1.897701,3.9694,3.7372,1.8116,0.2462,0.226,0.2694
181,1.897973,3.9659,3.7223,1.8129,0.2272,0.2097,0.244
182,1.89822,3.9633,3.7097,1.8145,0.21,0.197,0.2163
183,1.898469,3.9603,3.6963,1.816,0.1943,0.1878,0.1864
184,1.898722,3.957,3.682,1.8176,0.179,0.1779,0.1583
185,1.898975,3.9534,3.6663,1.819,0.1642,0.1664,0.1335
186,1.89922,3.949,3.6471,1.8207,0.1494,0.156,0.107
187,1.899456,3.9434,3.6227,1.8224,0.1342,0.1472,0.0761
188,1.899674,3.9358,3.59,1.8246,0.1185,0.1405,0.041
189,1.899886,3.9264,3.5503,1.8271,0.1031,0.1361,0.0035
190,1.900093,3.9157,3.5042,1.8302,0.0874,0.134,-0.0379
191,1.9003,3.9035,3.452,1.8335,0.0713,0.1331,-0.0807
192,1.900507,3.89,3.3949,1.8369,0.0561,0.1349,-0.124
193,1.900718,3.8756,3.3343,1.8402,0.043,0.1415,-0.1686
