#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
230,1.062531,3.713,2.5234,1.7465,0.3696,0.7537,-0.1818
231,1.062773,3.7113,2.4771,1.7862,0.2734,0.6615,-0.2815
232,1.063021,3.7093,2.4248,1.8303,0.1667,0.5597,-0.3925
233,1.063231,3.7072,2.3741,1.8728,0.0646,0.4627,-0.4992
234,1.063433,3.7051,2.3213,1.917,-0.0414,0.3624,-0.61
235,1.063609,3.7032,2.2758,1.9551,-0.1333,0.2752,-0.706
236,1.063779,3.7013,2.2299,1.9936,-0.2259,0.1875,-0.8028
237,1.063933,3.6995,2.1875,2.0291,-0.3113,0.1066,-0.8922
238,1.064079,3.6981,2.1512,2.0598,-0.3854,0.0362,-0.9696
239,1.06422,3.6976,2.133,2.0758,-0.4251,-0.0023,-1.0102
240,1.064363,3.6967,2.1071,2.0984,-0.4801,-0.0552,-1.0672
241,1.0645,3.6946,2.0575,2.1392,-0.5777,-0.1466,-1.17
242,1.064625,3.6925,2.0114,2.1774,-0.6691,-0.2322,-1.2661
243,1.064741,3.6906,1.9685,2.2124,-0.7522,-0.3097,-1.354
244,1.064852,3.6891,1.9362,2.2388,-0.8144,-0.3677,-1.4197
245,1.064954,3.6891,1.9368,2.2385,-0.8138,-0.3672,-1.419
246,1.065067,3.6892,1.9385,2.2372,-0.8104,-0.3636,-1.4154
247,1.06518,3.6869,1.8858,2.2803,-0.9124,-0.4589,-1.523
248,1.065285,3.6843,1.8319,2.3242,-1.016,-0.5552,-1.6325
249,1.065379,3.6819,1.7793,2.367,-1.1163,-0.6483,-1.7387
250,1.065464,3.6794,1.7274,2.4092,-1.2154,-0.7402,-1.8437
251,1.065542,3.677,1.6752,2.4515,-1.3145,-0.8317,-1.9487
252,1.065612,3.6745,1.6237,2.4933,-1.4117,-0.9214,-2.0519
253,1.065675,3.6723,1.5773,2.5306,-1.4985,-1.001,-2.1443
254,1.065734,3.67,1.5313,2.5676,-1.5838,-1.0791,-2.2352
255,1.065788,3.6678,1.4865,2.6035,-1.6665,-1.1546,-2.3234
256,1.065837,3.6655,1.4428,2.6385,-1.7465,-1.2274,-2.4089
257,1.065882,3.6632,1.3988,2.6732,-1.8256,-1.299,-2.4938
258,1.065925,3.661,1.3562,2.7068,-1.9017,-1.3676,-2.5755
259,1.065965,3.6587,1.3143,2.7398,-1.9761,-1.4344,-2.6556
260,1.066,3.6565,1.273,2.7721,-2.0489,-1.4995,-2.734
261,1.066034,3.6543,1.2325,2.8037,-2.1196,-1.5625,-2.8104
262,1.066066,3.6521,1.1927,2.8347,-2.1887,-1.6239,-2.8851
263,1.066095,3.65,1.1539,2.865,-2.2557,-1.6832,-2.9578
264,1.066123,3.6477,1.1157,2.8946,-2.321,-1.7407,-3.0286
265,1.066148,3.6456,1.0779,2.9237,-2.3848,-1.7965,-3.0981
266,1.066173,3.6434,1.041,2.952,-2.4468,-1.8508,-3.1658
267,1.066195,3.6413,1.0044,2.9801,-2.5076,-1.9037,-3.2322
268,1.066216,3.6392,0.9688,3.0073,-2.5663,-1.9547,-3.2965
269,1.066236,3.6371,0.9335,3.0341,-2.6238,-2.0041,-3.3595
270,1.066255,3.635,0.8987,3.0604,-2.6795,-2.0517,-3.421
271,1.066273,3.6328,0.8645,3.086,-2.7335,-2.0975,-3.4807
272,1.066289,3.6307,0.8309,3.1112,-2.7861,-2.1421,-3.5391
273,1.066305,3.6286,0.798,3.136,-2.8377,-2.1855,-3.5962
274,1.066319,3.6267,0.7659,3.16,-2.8876,-2.2273,-3.6517
275,1.066334,3.6247,0.7344,3.1836,-2.9365,-2.2684,-3.7062
276,1.066347,3.6228,0.7037,3.2066,-2.984,-2.3084,-3.7591
277,1.066359,3.6209,0.674,3.229,-3.03,-2.3468,-3.8103
278,1.066372,3.6191,0.6455,3.2505,-3.0741,-2.3838,-3.8594
279,1.066383,3.6176,0.62,3.2697,-3.1132,-2.4165,-3.9032
